ID_EMPLEADO,TX_NIF,TX_NOMBRE,TX_APELLIDO1,TX_APELLIDO2,F_NACIMIENTO,N_TELEFONO1,N_TELEFONO2,TX_EMAIL,F_ALTA,F_BAJA,CX_EDOCIVIL,B_SERVMILITAR
1,81394183F,Reina,Maria,Perez,1971-07-03,400-821-8771,419-724-7134,qrowthorne0@amazon.de,1998-04-21,2022-01-18,C,S
2,88394283F,Reina,Cabanillas,Olmos,1978-07-03,600-821-8771,479-724-7134,asier0@amazon.de,1999-04-21,2020-01-18,S,N
3,88355283F,Asier,Cabanillas,Sater,1968-07-03,600-821-8771,479-724-7134,asier0@amazon.de,1992-04-21,2012-01-18,S,S
4,33452421Z,Irma,Linier,Santiago,1976-08-10,284-479-3199,932-158-9279,isanti1@weibo.com,2003-11-23,2008-12-03,S,C
5,06333229L,Irma,Soriano,Aribel,1995-10-09,674-549-2181,658-324-7566,iary2@qq.com,2023-03-30,2024-04-12,S,S
6,06333229L,Pilar,Trebujena,Sibel,1985-10-09,674-549-2181,658-324-7566,iary2@qq.com,2020-03-30,2022-04-12,S,N
7,90670387L,Conney,Cockburn,Penwright,1986-12-10,218-396-072,410-722-396,cpenwright3@cdc.gov,2011-03-26,2024-03-18,C,S
8,40670587L,Maria del Carmen,Varona,Gutierrez,1988-02-10,618-396-072,810-722-396,mc@cdc.gov,2014-07-26,2020-03-18,C,S
9,76356275F,Beatriz,Pugh,Nion,1982-02-28,351-248-8635,945-267-4221,bnehls4@com.com,2003-12-03,2017-10-30,C,S
10,16356275X,Pepe,Panteras,Pomelo,1972-02-28,651-248-8635,945-217-4221,pp4@com.com,2002-12-03,2018-10-30,C,S
11,16377275A,Pablo,Pacastro,Romeral,1975-02-28,651-248-8635,945-217-4221,pa@com.com,2006-12-03,2016-10-30,C,S
12,76388275F,Charo,Dedillo,Namero,1989-02-28,351-248-8635,945-267-4221,b4@com.com,2008-04-03,2012-10-30,C,N
13,72288275V,Pablo,Dedillo,Salillo,1981-02-28,661-248-8635,945-267-4221,pppp4@com.com,2012-04-03,2018-10-30,C,S
14,22288275V,Noemí,Repalillo,Soplete,1983-02-28,661-248-8635,945-267-4221,noe@com.com,2011-04-03,2017-10-30,C,N
15,02875129S,Christiane,Belle,Senton,1987-03-01,663-273-145,961-776-7781,csenton5@cam.uk,2013-03-29,2023-01-28,S,N
16,02834129Y,Cristian,Santos,Petanca,1979-03-01,663-273-145,961-776-7781,csen@cam.uk,2015-03-29,2020-01-28,S,S
17,02894129Y,Javier,Perez,Petanca,1978-03-01,668-273-145,911-776-7781,csja@cam.uk,2014-03-29,2021-01-28,S,S
18,11894129K,Francisco Javier,Perez,Sotillo,1972-03-01,668-883-145,911-711-7781,ca@cam.uk,2011-03-29,2020-01-28,S,S
19,11864229K,Francisco Manuel,Tino,Casals,1973-03-01,668-883-145,911-711-7781,tinoc@cam.uk,2010-03-29,2013-01-28,C,S
20,77105803X,Kaye,Quinnet,Bartol,1971-01-01,166-557-9982,891-489-4464,kbartol6@netlog.com,1999-09-17,2015-12-25,S,N
21,77235803X,Kike,Elustondo,Bartoli,1970-01-01,666-557-9982,891-489-4464,elu@netlog.com,1994-09-17,2012-12-25,C,N
22,66235803C,Unai,Elustondo,Arribas,1971-01-01,666-557-9982,891-489-4464,elu@netlog.com,1998-09-17,2016-12-25,C,S
24,87266855L,Jessie,Velareal,Tretter,1990-06-10,123-348-857,612-807-417,jtretter7@cnn.com,2015-02-17,2016-08-10,C,N
25,87266875L,Joni,Barrios,Tretter,1992-06-10,123-348-857,612-807-417,joni@cnn.com,2017-02-17,2019-08-10,C,N
26,66266875L,Pep,Barrios,Solé,1982-06-10,123-348-857,612-807-417,pepe@cnn.com,2013-02-17,2019-08-10,C,N
27,66922875L,Nelia,Cantado,Solé,1985-06-10,663-348-857,612-807-417,neli@cnn.com,2016-02-17,2021-08-10,C,N
28,61122875L,Conchita,Perez,Solé,1981-06-10,663-348-857,612-807-417,c@cnn.com,2014-02-17,2022-08-10,S,N
29,61121585E,Sara,Perez,Pinillos,1971-06-10,663-348-857,612-807-417,sac@cnn.com,2011-02-17,2023-08-10,S,N
30,46721622P,Santiago,Guti,Lopez,1972-03-01,975-673-353,678-123-517,papanana@edublogs.org,1999-11-28,2011-05-03,S,N
31,46721162P,Carla,Panadero,Lopez,1972-03-01,975-673-353,678-123-517,choulridge8@edublogs.org,1999-11-28,2011-05-03,S,N
33,67292382A,Carla,Ruiz,Jilguero,1978-11-01,975-673-353,678-123-517,choulridge8@edublogs.org,1997-11-28,2024-05-03,S,N
36,01506964L,Dido,Trowsdale,Sywell,1992-04-22,650-788-2097,550-832-9882,dsywell9@google.ru,2002-02-06,2022-04-17,S,S
37,01501964L,Berto,Tunicio,Sywell,1991-04-22,651-788-2097,550-832-9882,berto@google.ru,2004-02-06,2017-04-17,S,S
38,01501965O,Vera,Tunicio,Santex,1982-04-22,651-788-2097,550-832-9882,berto@google.ru,2010-02-06,2014-04-17,S,N
39,01331965O,Pepe,Romero,Santex,1985-04-22,654-788-2097,553-832-9882,romi@google.ru,2016-02-06,2024-04-17,S,N
40,81396418L,Lara,Charcos,Pell,1989-07-03,600-821-8771,619-724-7134,qrowthorne0@amazon.de,2020-01-03,,C,N
41,81696418L,Samuel,Charcos,Perez,1983-07-03,600-821-8771,619-724-7134,sami@amazon.de,2022-01-03,,C,N
42,81630418L,Noelia,Gutierrez,Perez,1981-07-03,600-821-8771,619-724-7134,N@amazon.de,2011-01-03,,S,N
43,81110418L,Fernanada,Gutierrez,Perez,1976-07-03,600-821-871,639-724-714,asdf@amazon.de,2016-01-03,,S,N
44,81122418L,Paco,Gutierrez,Perez,1973-07-03,600-821-871,639-724-714,asdf@amazon.de,2010-01-03,,S,N
45,81188418L,Pepillo,Gutierrez,Groso,1971-07-03,600-821-871,639-724-714,gor@amazon.de,2006-01-03,,S,S
46,22188418L,Manolo,Niam,Felino,1974-07-03,6033-21-871,639-724-714,gfeli@amazon.de,2008-01-03,,S,S
47,22188998I,Zaida,Silla,Pilla,1979-07-03,643-21-871,619-724-714,silla@amazon.de,2015-01-03,,S,N
